coord_id,w2v_sentence
1378705746706289496,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_yellow_cotton_기타 하의_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1378693936621293463,상의_black_cotton_반소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1378691421836355658,상의_white_cotton_반소매 티셔츠_남성_여름_minimal 상의_beige_cotton_민소매 티셔츠_남성_여름_minimal 하의_brown_cotton_숏 팬츠_남성_여름_minimal 신발_red_leather_샌들/슬리퍼_남성_여름_minimal
1378704690182598534,상의_beige_cotton_니트/스웨터_남성_여름_minimal 상의_black_cotton_민소매 티셔츠_남성_여름_minimal 하의_black_cotton_기타 하의_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1378699249315584425,상의_brown_cotton_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1378703855297482811,상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_green_leather_부츠/워커_남성_여름_minimal
1378690671863238794,상의_black_cotton_셔츠/블라우스_남성_여름_minimal 하의_black_cotton_숏 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1378702546842919359,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_black_cotton_숏 팬츠_남성_여름_minimal 신발_white_leather_샌들/슬리퍼_남성_여름_minimal
1378685954362242790,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_white_leather_샌들/슬리퍼_남성_여름_minimal
1377165360865551481,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_숏 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1377162938774420306,상의_black_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_green_cotton_숏 팬츠_남성_여름_minimal 신발_black_leather_부츠/워커_남성_여름_minimal
1377160152749072093,상의_blue_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_white_denim_데님 팬츠_남성_여름_minimal
1377160783140664400,상의_red_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_black_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1377156029780667579,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_gray_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_polyester_샌들/슬리퍼_남성_여름_minimal
1377157527694565160,상의_green_cotton_니트/스웨터_남성_여름_minimal 하의_beige_cotton_슈트 팬츠/슬랙스_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1377144958437471988,상의_white_cotton_반소매 티셔츠_남성_여름_minimal 상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_black_denim_데님 팬츠_남성_여름_minimal 신발_white_leather_스니커즈_남성_여름_minimal
1377154516576447915,상의_green_cotton_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_숏 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1377158804056909866,아우터_white_cotton_카디건_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1377145643930399266,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_brown_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_white_leather_샌들/슬리퍼_남성_여름_minimal
1377144384355455855,상의_green_cotton_반소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal
1377158258578066426,상의_blue_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_beige_cotton_숏 팬츠_남성_여름_minimal 신발_brown_leather_부츠/워커_남성_여름_minimal
1376451263910806229,하의_beige_cotton_코튼 팬츠_남성_봄_minimal 신발_black_leather_스니커즈_남성_봄_minimal
1376816526331292022,상의_blue_denim_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_cotton_스니커즈_남성_여름_minimal
